SPY,QQQ,TLT
-3.63714382e-03,4.28600245e-03,5.51294247e-03
-2.65047284e-02,-2.52315746e-02,1.48121771e-02
5.79577815e-03,1.19416622e-02,1.10091306e-04
8.07152067e-03,2.07000645e-02,-1.32662047e-03
-1.84682844e-03,-7.59637379e-03,7.38702155e-03
2.37395902e-03,-1.34807339e-02,-3.41041164e-03
1.16546368e-02,1.64523353e-02,-2.31896473e-03
3.31447101e-03,4.07127902e-03,3.86004496e-03
-6.96613662e-03,2.02858047e-03,-5.50736778e-04
1.03339282e-02,1.40918912e-02,-9.07109718e-03
-2.36858445e-02,-1.88946010e-02,1.29100144e-02
1.12495413e-03,7.74751582e-03,3.18968127e-03
-7.63481810e-03,-6.45212877e-03,-4.39543328e-04
1.33723297e-02,1.12185931e-02,-4.84710046e-03
-2.77370307e-02,-2.46242729e-02,1.76651149e-03
-5.08350795e-03,-3.08360698e-02,-1.76651149e-03
-1.38211508e-02,-3.40147476e-02,8.46677419e-03
-9.97143046e-03,-2.57280486e-02,3.60750204e-03
3.00251957e-02,4.04197008e-02,-3.71659617e-03
-2.77275086e-03,-1.28930500e-02,1.09446433e-03
-1.45292495e-02,-5.40545127e-03,9.36312560e-03
1.71585876e-03,9.19101605e-03,1.40759897e-03
-1.40213026e-02,-1.16020548e-02,6.47211233e-03
6.10271316e-03,4.01564956e-03,-1.07632518e-03
-2.06772220e-02,-1.18938990e-02,5.79553974e-03
1.71447516e-02,1.06911283e-02,2.99152332e-03
-2.23102779e-02,-1.74061979e-02,1.95459834e-02
1.14278025e-02,1.98107393e-02,-9.56622499e-03
3.14835465e-02,2.99707035e-02,-6.78386033e-03
3.39462653e-04,4.26462474e-03,8.57695071e-03
1.00054301e-02,-7.57223888e-03,-4.86127826e-03
-6.61420980e-03,-8.41575304e-03,7.90383169e-03
-8.97826534e-03,-4.13620294e-03,-1.05304552e-04
1.66012758e-02,1.78001576e-02,-1.19994039e-02
1.42120914e-02,1.42448944e-02,-8.79712966e-03
-1.99060776e-04,1.90872401e-04,-1.12719047e-02
7.72289906e-03,4.00483420e-03,-6.01254039e-03
-2.78025993e-02,-2.34938269e-02,1.94365722e-02
9.82250343e-03,8.92348308e-03,-1.03766555e-02
-2.07757639e-03,-5.42221859e-03,-1.09257645e-02
-1.27599471e-02,-1.03446458e-02,-4.62473965e-03
-1.43725949e-02,-2.46287096e-02,8.90010502e-03
5.56808873e-03,3.21181969e-03,6.43238512e-03
0.00000000e+00,-1.99941123e-04,1.31718437e-02
6.28727642e-03,2.02429536e-02,-2.14679856e-03
1.43124435e-02,1.95329718e-02,-1.47271404e-02
7.39811880e-03,7.49380505e-03,-4.70150224e-03
2.14183879e-03,4.96504970e-03,-8.80727305e-03
-1.26503759e-02,-1.20728894e-02,1.08435231e-02
-2.50888836e-03,-9.64250319e-04,1.54729826e-02
-7.42757595e-03,-1.16460218e-02,6.03753488e-03
-8.79326203e-03,-1.59408083e-02,1.42993429e-02
-4.82507487e-04,4.15738152e-03,-1.37792625e-03
-2.48119632e-02,-4.48470254e-02,2.11839260e-04
-8.49172199e-04,-4.76356374e-03,4.33920547e-03
-1.62802907e-02,-2.62922551e-02,-1.16168298e-03
1.04550801e-02,2.10892052e-02,1.90111337e-03
6.53300516e-03,1.45986245e-03,-1.36012946e-02
-8.10144641e-03,-1.97821634e-02,7.77988835e-03
8.03048478e-03,1.72785273e-02,3.70898422e-03
-2.22587336e-02,-2.79625782e-02,1.11483603e-02
-8.65033273e-03,-1.07987588e-02,-7.24255250e-03
-2.62577453e-02,-1.39959465e-02,1.28750082e-02
-1.03204837e-02,-1.32176913e-03,-6.88801202e-03
-1.01989742e-02,-2.61384655e-02,1.06247412e-02
2.37369105e-02,-3.85531160e-03,-2.28273873e-03
8.40617195e-03,2.02434900e-02,-2.02467384e-02
-1.45510265e-02,-2.06974945e-02,1.67099320e-02
1.64014021e-02,7.69899766e-03,-3.75913972e-03
4.94180400e-03,1.80347627e-03,-6.82320183e-03
-7.38493469e-03,-9.01131426e-04,-6.55119340e-03
1.80704293e-02,1.69829822e-02,7.07714216e-03
1.59597122e-02,1.01414466e-02,5.99380979e-03
-1.26893626e-02,-1.41376788e-02,-1.03443662e-02
-2.71389490e-02,-2.88895901e-02,7.61048905e-03
-8.08458368e-03,-1.98893923e-02,-3.05854723e-03
6.59204442e-03,6.98332937e-03,-2.17822955e-02
-6.44150929e-03,1.13024831e-02,1.13778786e-02
5.09698935e-03,1.07218750e-02,4.15295126e-03
9.22798446e-03,-5.68939908e-03,-5.96875885e-03
1.01704974e-02,2.16716497e-02,-1.06418952e-02
-8.83768540e-03,-1.82539658e-02,-1.48055007e-02
-2.22302629e-04,-3.41768385e-03,7.64823602e-03
2.80831550e-03,-1.82666551e-03,-1.01732839e-02
2.94696245e-03,4.56198892e-03,6.90300303e-03
-8.34801654e-03,-9.60470937e-03,1.05359911e-02
6.13829336e-03,3.66984213e-03,-5.74257926e-03
1.25304114e-02,5.02439585e-03,-1.02679053e-02
7.47213445e-03,3.86454707e-03,3.29417128e-04
-1.01234512e-03,4.97954147e-03,8.77549885e-04
-9.81515255e-03,-3.84551555e-03,1.76097866e-02
-2.25360397e-02,-2.68768394e-02,1.51829684e-02
-2.39406498e-03,-6.54075457e-03,-2.58071188e-03
-3.82753301e-03,5.60949364e-03,-9.76486373e-03
6.29627523e-03,4.88173850e-03,-1.20430162e-02
-2.09149072e-02,-2.22780523e-02,5.33463737e-03
-1.03540719e-02,-2.37419103e-03,1.30073473e-03
-1.32709334e-02,-1.94413260e-02,1.46392379e-02
3.53068594e-02,3.73452518e-02,-8.58489788e-03
-9.39558086e-03,-2.80558587e-03,1.91069359e-02
2.20506861e-03,7.69724807e-03,-7.85491692e-03
